,player,targets,rec,rec_yds,rec_td,rec_long,rec_air_yds,rec_yac,rec_drops
785,Terry Godwin,6,3,32,0,21,70.2,3,1
786,Terry McLaurin,410,257,3667,18,1535,4977.4,1217,13
787,Tevaughn Campbell,1,0,0,0,0,10.0,0,0
788,Tevin Coleman,54,39,307,2,235,-12.400000000000002,328,4
789,Tevin Jones,10,4,61,0,53,123.9,11,2
790,Theo Riddick,6,5,43,0,18,10.0,33,0
791,Tim Jones,3,2,27,0,27,4.0,21,1
792,Tim Patrick,191,118,1676,11,817,2242.4,478,3
793,Todd Gurley,84,56,371,2,250,77.9,319,11
794,Tom Kennedy,18,11,122,0,78,168.1,41,2
795,Tommy Doyle,1,1,1,1,1,1.0,0,0
796,Tommy Hudson,6,3,31,0,31,30.0,24,0
797,Tommy Sweeney,26,18,165,1,84,186.2,60,2
798,Tommy Tremble,49,28,268,2,195,425.0,95,3
799,Tommylee Lewis,5,2,12,0,12,44.0,11,1
800,Tony Jones,10,7,41,0,32,-1.0,42,0
801,Tony Pollard,127,96,770,2,494,-23.7,837,8
802,Tra Carson,4,4,18,0,8,4.0,14,0
803,Travis Benjamin,23,7,47,0,52,357.1,24,3
804,Travis Etienne,26,17,157,0,106,25.200000000000003,172,3
805,Travis Fulgham,70,38,539,4,243,869.0,100,2
806,Travis Homer,52,44,393,1,269,45.5,371,1
807,Travis Kelce,558,408,5146,41,1521,4536.4,2121,27
808,Trayveon Williams,7,6,34,0,27,-18.1,52,0
809,Tre' McKitty,15,10,73,0,47,33.9,49,1
810,Tre'Quan Smith,150,101,1379,15,728,1534.2,448,9
811,Trent Sherfield,64,33,374,1,285,685.3,90,2
812,Trent Taylor,25,13,132,0,111,146.8,59,0
813,Trent Williams,1,0,0,0,0,1.0,0,0
814,Trenton Cannon,3,3,16,0,20,3.0,13,0
815,Trenton Irwin,10,5,66,0,57,94.1,35,1
816,Trestan Ebner,4,2,8,0,6,6.1,-16,1
817,Trevon Wesco,12,7,110,0,104,33.0,79,1
818,Trevor Davis,11,8,111,0,80,100.2,65,0
819,Trey Burton,74,45,368,3,213,501.2,118,6
820,Trey Edmunds,7,6,48,0,26,6.0,42,0
821,Trey McBride,3,3,24,0,11,12.0,12,0
822,Trey Quinn,47,26,198,1,101,324.0,61,1
823,Trey Ragas,2,2,6,0,4,-7.0,13,0
824,Trey Sermon,4,3,26,0,26,9.9,18,1
825,Treylon Burks,16,10,129,0,64,195.0,56,1
826,Trinity Benson,22,10,103,0,72,165.1,51,3
827,Troy Fumagalli,24,14,118,2,89,151.3,74,0
828,Troy Hairston,3,3,12,0,10,6.0,6,0
829,Troymaine Pope,13,10,56,1,34,-15.8,55,2
830,Tutu Atwell,4,1,54,0,54,154.0,1,0
831,Ty Johnson,113,76,590,3,303,258.0,560,10
832,Ty Montgomery,54,36,240,1,163,98.2,228,3
833,Ty Sambrailo,1,1,35,1,35,15.0,20,0
834,Ty'Son Williams,12,9,84,0,51,30.0,71,0
835,Tylan Wallace,12,5,44,0,44,121.0,18,1
836,Tyler Allgeier,5,5,71,1,50,-13.1,84,0
837,Tyler Boyd,415,283,3318,19,1335,3381.9,1381,9
838,Tyler Conklin,173,121,1159,7,561,972.9,651,8
839,Tyler Davis,13,8,61,0,58,82.0,40,1
840,Tyler Eifert,123,79,785,5,423,997.1,237,5
841,Tyler Ervin,20,14,102,0,75,39.0,108,1
842,Tyler Higbee,309,222,2251,13,954,1812.7,1169,14
843,Tyler Johnson,85,55,605,2,372,690.2,239,9
844,Tyler Kroft,60,36,378,5,272,425.6,148,6
845,Tyler Lockett,427,313,3962,30,1514,5149.3,1008,11
846,Tyquan Thornton,15,8,76,1,58,153.9,25,1
847,Tyree Jackson,7,3,22,1,13,69.0,7,0
