,player,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,fumbles_lost
62,Deebo Samuel,1,2,24,1,0,0,0,24,197.9,0
63,Derek Carr,1295,1922,14691,80,36,111,686,2182,5404.3,16
64,Derrick Henry ,2,2,8,2,0,0,0,8,245.8,0
65,Deshaun Watson,766,1116,9310,62,19,104,604,1361,3481.1,6
66,Devlin Hodges,100,160,1063,5,8,15,102,262,643.0,1
67,Drew Brees,629,874,6528,55,14,28,209,949,2712.9,3
68,Drew Lock,406,688,4587,25,20,31,188,822,1794.9,5
69,Dustin Colquitt,0,1,0,0,0,0,0,0,39.6,0
70,Dwayne Haskins,267,444,2804,12,14,49,345,535,1193.6,5
71,Easton Stick,1,1,4,0,0,0,0,4,83.3,0
72,Eli Manning,91,147,1042,6,5,5,44,182,339.9,1
73,Emmanuel Sanders,1,1,35,1,0,0,0,35,158.3,0
74,Ezekiel Elliott,1,1,4,0,0,0,0,4,83.3,1
75,Feleipe Franks,0,1,0,0,1,0,0,0,0.0,0
76,Gardner Minshew II,543,859,5992,41,12,65,362,998,2556.3,11
77,Garrett Gilbert,41,72,437,1,1,4,43,78,233.7,0
78,Geno Smith,250,349,2659,18,4,33,273,478,1357.5,2
79,Golden Tate,1,2,18,0,0,0,0,18,158.3,0
80,Greg Ward,2,3,17,0,0,0,0,17,237.5,0
81,Ian Book,12,20,135,0,2,8,54,56,40.6,0
82,Isaiah McKenzie,1,1,12,1,0,0,0,12,156.2,0
83,Isaiah Wright,0,1,0,0,0,0,0,0,39.6,0
84,Jack Fox,3,4,44,0,0,0,0,44,368.70000000000005,0
85,Jacob Eason,5,10,84,0,2,0,0,59,78.4,0
86,Jacoby Brissett,578,935,6104,30,15,62,393,983,2821.9,11
87,Jake Elliott ,0,1,0,0,1,0,0,0,0.0,0
88,Jake Fromm,27,60,210,1,3,6,33,66,131.8,1
89,Jake Luton,60,110,624,2,6,7,52,113,168.4,0
90,Jakobi Meyers,4,4,88,2,0,0,0,73,435.3,0
91,Jalen Hurts,507,835,6262,33,17,59,324,1133,2754.5,4
92,Jamal Agnew,0,1,0,0,0,0,0,0,39.6,0
93,Jameis Winston,556,914,7268,52,38,71,436,1210,2672.9,6
94,James White,1,1,35,0,0,0,0,35,118.7,0
95,Jamison Crowder,1,1,43,1,0,0,0,43,158.3,0
96,Jaquan Johnson,1,1,13,0,0,0,0,13,118.7,0
97,Jared Goff,1285,1967,14068,75,43,99,754,1979,4896.2,18
98,Jarrett Stidham,32,61,342,2,4,6,36,143,508.20000000000005,0
99,Jarvis Landry,4,4,74,1,0,0,0,74,485.40000000000003,0
100,Jaylen Samuels,4,5,35,0,1,0,0,25,126.4,0
101,Jeff Driskel,97,169,1117,7,6,22,144,193,389.7,0
102,Jimmy Garoppolo,924,1368,11318,68,38,98,636,1945,4767.0,10
103,Joe Burrow,938,1371,10733,69,27,131,934,1654,3819.0,8
104,Joe Flacco,363,593,3925,20,11,44,336,737,1621.6,7
105,Joe Mixon,1,1,6,1,0,0,0,6,131.2,0
106,John Brown,2,2,44,2,0,0,0,44,316.6,0
107,John Wolford,26,48,265,0,2,4,16,58,184.8,0
108,Johnny Hekker,3,4,30,0,1,0,0,30,285.4,0
109,Jordan Love,42,71,484,2,3,3,23,174,474.0,1
110,Joseph Charlton,1,1,28,0,0,0,0,28,118.7,0
111,Josh Allen,1398,2171,15956,126,41,114,749,2318,6025.8,16
112,Josh Gordon,0,1,0,0,1,0,0,0,0.0,0
113,Josh Johnson,57,85,638,5,2,3,23,63,263.2,0
114,Josh McCown,21,29,198,0,0,6,14,45,166.89999999999998,0
115,Josh Rosen,60,120,586,1,7,16,93,138,262.7,0
116,Joshua Dobbs,4,5,2,0,0,0,0,3,79.2,0
117,Julian Edelman,4,4,85,1,0,0,0,69,395.7,0
118,Justin Fields,252,429,3069,14,16,67,453,657,1483.9,6
119,Justin Herbert,1042,1575,11359,81,29,73,485,1639,3855.7,4
120,Justin Jefferson,3,5,58,0,0,0,0,58,429.1,0
121,Kadarius Toney,1,3,19,0,0,0,0,19,197.9,0
122,Keelan Cole,0,1,0,0,0,0,0,0,39.6,0
123,Keenan Allen,0,2,0,0,0,0,0,0,79.2,0
124,Kellen Mond,2,3,5,0,0,0,0,6,70.1,0
125,Kelvin Harmon,1,1,11,0,0,0,0,11,112.5,0
126,Kendall Hinton,2,10,14,0,2,1,1,14,79.2,0
127,Kendrick Bourne,1,1,25,1,0,0,0,25,158.3,0
128,Kenjon Barner,1,1,3,0,0,0,0,3,79.2,0
129,Kenny Pickett,112,165,962,2,8,12,78,125,360.0,1
130,Kirk Cousins,1243,1845,14237,107,32,117,825,2268,5795.6,11
131,Kyle Allen,375,595,4052,22,17,55,446,630,1653.2,9
132,Kyler Murray,1291,1940,13610,80,42,127,937,2137,5131.7,7
133,Lamar Jackson,963,1501,11107,94,38,119,599,1937,5093.1,11
134,Leonard Fournette,0,1,0,0,0,0,0,0,39.6,0
135,Logan Cooke,2,2,16,0,0,0,0,16,200.0,0
136,Logan Thomas,1,1,28,0,0,0,0,28,118.7,0
137,Logan Woodside,1,3,7,0,0,0,0,7,135.4,0
138,Luke Falk,47,73,416,0,3,16,96,75,184.2,1
139,Lynn Bowden Jr.,1,2,32,0,0,0,0,32,158.3,0
140,Mac Jones,467,697,5026,27,22,42,329,763,2002.4,4
141,Mack Hollins,1,1,4,0,0,0,0,4,83.3,0
142,Malik Willis,7,14,61,0,1,3,15,22,75.0,1
143,Marcus Mariota,226,369,2869,18,9,44,293,664,1699.3999999999999,3
144,Mason Rudolph,236,384,2366,16,11,16,132,507,1227.0,0
145,Matt Barkley,38,72,556,1,4,2,10,146,334.3,1
146,Matt Haack,1,2,1,1,0,0,0,1,158.3,0
147,Matt Moore,59,91,659,4,0,8,65,128,339.7,0
148,Matt Ryan,1393,2099,15023,81,46,153,1031,1992,4942.7,15
149,Matt Schaub,50,67,580,3,1,2,19,75,362.1,1
150,Matthew Stafford,1210,1818,14420,102,43,117,848,2243,5232.6,9
151,Matthias Farley,1,1,6,0,0,0,0,6,91.7,0
152,Michael Palardy,1,1,12,0,0,0,0,12,116.7,0
